,de_text,en_text,de_url,en_url
0,"Heute steht jedes Land in Europa und Zentralasien vor der realen Bedrohung eines Wiederanstiegs der Fallzahlen von COVID-19 oder ist bereits mitten im Kampf dagegen. Das aktuelle Tempo der Übertragung in den 53 Ländern der Europäischen Region der WHO ist wahrhaft besorgniserregend. Die Fallzahlen nähern sich wieder neuen Höchstständen, da die leichter übertragbare Delta-Variante weiterhin das Infektionsgeschehen in Europa und Zentralasien bestimmt.","Today, every single country in Europe and central Asia is facing a real threat of COVID-19 resurgence, or already fighting it. The current pace of transmission across the 53 countries of the WHO European Region is of grave concern. COVID-19 cases are once again approaching record levels, with the more transmissible Delta variant continuing to dominate transmission across Europe and central Asia.",https://www.euro.who.int/de/media-centre/sections/statements/2021/statement-update-on-covid-19-europe-and-central-asia-again-at-the-epicentre-of-the-pandemic,https://www.euro.who.int/en/media-centre/sections/statements/2021/statement-update-on-covid-19-europe-and-central-asia-again-at-the-epicentre-of-the-pandemic
1,"Vergangene Woche verzeichneten Europa und Zentralasien knapp 1,8 Millionen neue Fälle und 24 000 neue Todesfälle, ein Anstieg um 6% bzw. 12% gegenüber der Vorwoche. In den vergangenen vier Wochen erlebte Europa einen Anstieg der Fallzahlen von COVID-19 um mehr als 55%.","Last week, with nearly 1.8 million new cases and 24 000 new deaths reported, Europe and central Asia saw a 6% increase and 12% increase, respectively, compared to the previous week. Over the past 4 weeks, Europe has seen a greater than 55% increase in new COVID-19 cases.",https://www.euro.who.int/de/media-centre/sections/statements/2021/statement-update-on-covid-19-europe-and-central-asia-again-at-the-epicentre-of-the-pandemic,https://www.euro.who.int/en/media-centre/sections/statements/2021/statement-update-on-covid-19-europe-and-central-asia-again-at-the-epicentre-of-the-pandemic
2,"Vergangene Woche entfielen 59% aller weltweit gemeldeten Fälle und 48% der gemeldeten Todesfälle auf Europa und Zentralasien. Damit liegt die Gesamtzahl der gemeldeten Fälle in der Europäischen Region mit 78 Mio. Fällen inzwischen höher als in den Regionen Südostasien, Östlicher Mittelmeerraum, Westlicher Pazifikraum und Afrika zusammen.","Last week, Europe and central Asia accounted for 59% of all cases globally and 48% of reported deaths. Cumulatively, there are now more reported cases – 78 million – in the European Region than in South-East Asia, the Eastern Mediterranean, the Western Pacific and Africa combined.",https://www.euro.who.int/de/media-centre/sections/statements/2021/statement-update-on-covid-19-europe-and-central-asia-again-at-the-epicentre-of-the-pandemic,https://www.euro.who.int/en/media-centre/sections/statements/2021/statement-update-on-covid-19-europe-and-central-asia-again-at-the-epicentre-of-the-pandemic
3,"Wir beobachten steigende Trends in allen Altersgruppen. Unsere größte Sorge ist der rapide Anstieg in den älteren Bevölkerungsgruppen seit der 38. KW, was sich in einer Zunahme der schweren Krankheitsverläufe und auch der Todesfälle niederschlägt. Derzeit treten über 75% der tödlichen Fälle bei Erwachsenen ab 65 Jahren auf.","We see increasing trends across all age groups. Of most concern is the rapid increase in the older population groups since week 38, which is translating into more people with severe disease and more people dying. Currently, 75% of fatal cases are in people aged 65 years and above.",https://www.euro.who.int/de/media-centre/sections/statements/2021/statement-update-on-covid-19-europe-and-central-asia-again-at-the-epicentre-of-the-pandemic,https://www.euro.who.int/en/media-centre/sections/statements/2021/statement-update-on-covid-19-europe-and-central-asia-again-at-the-epicentre-of-the-pandemic
4,Die Hospitalisierungsraten aufgrund von COVID-19 haben sich nach den neuesten Daten von WHO/Europa binnen einer Woche mehr als verdoppelt.,"Hospitalization admission rates due to COVID-19 more than doubled in 1 week, based on WHO/Europe’s latest data.",https://www.euro.who.int/de/media-centre/sections/statements/2021/statement-update-on-covid-19-europe-and-central-asia-again-at-the-epicentre-of-the-pandemic,https://www.euro.who.int/en/media-centre/sections/statements/2021/statement-update-on-covid-19-europe-and-central-asia-again-at-the-epicentre-of-the-pandemic
5,Nach einer zuverlässigen Projektion könnte uns in Europa und Zentralasien bei Fortsetzung dieser Trends bis zum 1. Februar eine weitere halbe Million Todesfälle aufgrund von COVID-19 drohen – und 43 Länder in unserer Region würden irgendwann während dieses Zeitraums vor einer hohen bis extremen Belastung hinsichtlich der Belegung von Krankenhausbetten stehen.,"According to a reliable projection, if we stay on this trajectory, we could see another half a million COVID-19 deaths in Europe and central Asia by the first of February next year – and 43 countries in our Region will face high to extreme stress on hospital beds at some point through the same period.",https://www.euro.who.int/de/media-centre/sections/statements/2021/statement-update-on-covid-19-europe-and-central-asia-again-at-the-epicentre-of-the-pandemic,https://www.euro.who.int/en/media-centre/sections/statements/2021/statement-update-on-covid-19-europe-and-central-asia-again-at-the-epicentre-of-the-pandemic
6,Warum also ist es in Europa und Zentralasien vier Wochen in Folge zu rapide ansteigenden Fallzahlen gekommen? Dafür gibt es zwei Gründe: erstens eine unzureichende Durchimpfung und zweitens die Lockerung gesundheitlicher und sozialer Maßnahmen.,"So why have Europe and central Asia been experiencing soaring cases for 4 consecutive weeks? There are 2 reasons: 1) insufficient vaccination coverage, and 2) the relaxation of public health and social measures.",https://www.euro.who.int/de/media-centre/sections/statements/2021/statement-update-on-covid-19-europe-and-central-asia-again-at-the-epicentre-of-the-pandemic,https://www.euro.who.int/en/media-centre/sections/statements/2021/statement-update-on-covid-19-europe-and-central-asia-again-at-the-epicentre-of-the-pandemic
7,"Trotz fast neuer Höchststände bei den COVID-19-Fallzahlen liegt die Zahl der neuen Todesfälle nur bei etwa der Hälfte der bisherigen Höchststände. Dies verdeutlicht die lebensrettende Wirkung von Impfstoffen und die Herkulesaufgabe, vor der Gesundheitsbehörden, Gesundheitspersonal und Bevölkerung bei der Entwicklung, Verabreichung und Inanspruchnahme von Impfstoffen stehen. Bisher wurden in Europa und Zentralasien eine Milliarde Dosen verimpft.","Despite near-record COVID-19 cases, new deaths are at approximately half the peak levels. This reflects the life-saving effects of vaccines and the herculean task of health authorities, the health workforce and communities to develop, administer and accept vaccines. One billion doses have now been administered in Europe and central Asia.",https://www.euro.who.int/de/media-centre/sections/statements/2021/statement-update-on-covid-19-europe-and-central-asia-again-at-the-epicentre-of-the-pandemic,https://www.euro.who.int/en/media-centre/sections/statements/2021/statement-update-on-covid-19-europe-and-central-asia-again-at-the-epicentre-of-the-pandemic
8,"Dabei befinden sich die Länder Europas und Zentralasiens jedoch in jeweils unterschiedlichen Stadien ihrer Impfkampagnen. So sind im Durchschnitt nur 47% der Bevölkerung voll geimpft. Während acht Länder inzwischen eine Durchimpfung von über 70% aufweisen, liegt die Impfrate in zwei Ländern noch unter 10%.","Countries of Europe and central Asia are, however, at various stages of vaccination roll-out. On average, only 47% of people have completed a full vaccination series. While 8 countries have now exceeded 70% coverage, in 2 countries the rate remains below 10%.",https://www.euro.who.int/de/media-centre/sections/statements/2021/statement-update-on-covid-19-europe-and-central-asia-again-at-the-epicentre-of-the-pandemic,https://www.euro.who.int/en/media-centre/sections/statements/2021/statement-update-on-covid-19-europe-and-central-asia-again-at-the-epicentre-of-the-pandemic
9,"Wo die Impfraten niedrig sind – wie in vielen Ländern der Baltikums, Mittel- und Osteuropas und des Balkans –, sind die Hospitalisierungsraten hoch.","Where vaccine uptake is low – in many countries in the Baltics, central and eastern Europe, and the Balkans – hospital admission rates are high.",https://www.euro.who.int/de/media-centre/sections/statements/2021/statement-update-on-covid-19-europe-and-central-asia-again-at-the-epicentre-of-the-pandemic,https://www.euro.who.int/en/media-centre/sections/statements/2021/statement-update-on-covid-19-europe-and-central-asia-again-at-the-epicentre-of-the-pandemic
10,"Diese Unterschiede hinsichtlich der Durchimpfung spiegeln verschiedene Probleme bei den Impfkampagnen wider, aber auch einen Mangel an Vertrauen oder Sorglosigkeit in einigen Bevölkerungsgruppen. Es ist dringend geboten, dass die Behörden ihr Äußerstes tun, um das Impftempo zu erhöhen.","This variation in vaccination coverage reflects several issues around immunization service delivery, as well as a lack of trust and/or complacency among some population groups. It is imperative that authorities invest all efforts to accelerate the pace of vaccination roll-out.",https://www.euro.who.int/de/media-centre/sections/statements/2021/statement-update-on-covid-19-europe-and-central-asia-again-at-the-epicentre-of-the-pandemic,https://www.euro.who.int/en/media-centre/sections/statements/2021/statement-update-on-covid-19-europe-and-central-asia-again-at-the-epicentre-of-the-pandemic
11,"Wir müssen dafür sorgen, dass die Länder mit niedrigen Impfraten in den vorrangigen Gruppen ihre Impfraten erhöhen. Wir raten den Behörden, Personen mit moderaten und schweren Beeinträchtigungen des Immunsystems einen bis drei Monate nach Abschluss der primären Impfserie eine zusätzliche Dosis zu verabreichen und das Angebot einer zusätzlichen Dosis COVID-19-Impfstoff an alle Menschen über 60 Jahre in Erwägung zu ziehen.","We need to make sure countries with low vaccination coverage among priority groups increase their coverage. Authorities are encouraged to offer an additional dose to moderately and severely immunocompromised people 1 to 3 months after they complete the primary vaccination series, and to consider offering an additional dose of COVID-19 vaccine to all people over the age of 60.",https://www.euro.who.int/de/media-centre/sections/statements/2021/statement-update-on-covid-19-europe-and-central-asia-again-at-the-epicentre-of-the-pandemic,https://www.euro.who.int/en/media-centre/sections/statements/2021/statement-update-on-covid-19-europe-and-central-asia-again-at-the-epicentre-of-the-pandemic
12,"Darüber hinaus appelliere ich auch dringend an die Länder, durch Impfstoffspenden weltweite Solidarität unter Beweis zu stellen.","In addition, I continue to urge countries to show global solidarity through sharing of doses.",https://www.euro.who.int/de/media-centre/sections/statements/2021/statement-update-on-covid-19-europe-and-central-asia-again-at-the-epicentre-of-the-pandemic,https://www.euro.who.int/en/media-centre/sections/statements/2021/statement-update-on-covid-19-europe-and-central-asia-again-at-the-epicentre-of-the-pandemic
13,"Die Hospitalisierungsraten in Ländern mit niedrigeren Impfraten sind deutlich höher und steigen schneller als in Ländern mit höheren Impfraten. Ein Großteil der Menschen, die heute ins Krankenhaus eingeliefert werden oder an COVID-19 sterben, sind nicht vollständig geimpft.",Hospitalization rates in countries with low vaccine uptake are markedly higher and rising more quickly than in those with higher uptake. Most people hospitalized and dying from COVID-19 today are not fully vaccinated.,https://www.euro.who.int/de/media-centre/sections/statements/2021/statement-update-on-covid-19-europe-and-central-asia-again-at-the-epicentre-of-the-pandemic,https://www.euro.who.int/en/media-centre/sections/statements/2021/statement-update-on-covid-19-europe-and-central-asia-again-at-the-epicentre-of-the-pandemic
14,Die Impfstoffe wiederum erfüllen genau ihren Zweck: sie verhindern schwere und tödliche Krankheitsverläufe.,The vaccines are indeed doing what they were intended to do: preventing severe illness and death.,https://www.euro.who.int/de/media-centre/sections/statements/2021/statement-update-on-covid-19-europe-and-central-asia-again-at-the-epicentre-of-the-pandemic,https://www.euro.who.int/en/media-centre/sections/statements/2021/statement-update-on-covid-19-europe-and-central-asia-again-at-the-epicentre-of-the-pandemic
15,"Impfstoffe sind unsere stärkste Waffe – wenn wir sie zusammen mit anderen Instrumenten sinnvoll einsetzen. Zuverlässige Projektionen zeigen: Wenn 95% der Bevölkerung in Europa und Zentralasien konsequent Masken trügen,  könnten bis zu 188 000 von der halben Million Menschenleben gerettet werden, die sonst bis Februar 2022 verloren gehen könnten.","Vaccines are our most powerful asset – if used alongside other tools. Reliable projections show that if we achieved 95% universal mask use in Europe and central Asia, we could save up to 188 000 lives of the half a million lives we may lose before February 2022.",https://www.euro.who.int/de/media-centre/sections/statements/2021/statement-update-on-covid-19-europe-and-central-asia-again-at-the-epicentre-of-the-pandemic,https://www.euro.who.int/en/media-centre/sections/statements/2021/statement-update-on-covid-19-europe-and-central-asia-again-at-the-epicentre-of-the-pandemic
